
uid,i__start_size,i__cons_marry_allow_thr,i__cons_marry_chance,d__incident_rate,c__gen_count,c__min_offspring,c__max_offspring,c__min_gen_grow,c__max_gen_grow,c__death_age,c__min_marry_age,c__max_marry_age,c__gene_healthy_weight,c__gene_trait_weight,c__gene_affect_weight,s__stop_marry_prop,s__cons_marry_prop,s__die_dis_count,s__die_age_count,s__stop_marry_count,s__offspring_count,s__cons_marry_count,s__marry_count,s__end_size,s__end_kid_count,s__end_senior_count,s__end_male_unmarry_count,s__end_female_unmarry_count,s__end_male_marry_count,s__end_female_marry_count
b000_r000_p021,4000,0,0.2,0.01387651924420434,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10276667199744123,2602,44976,0,187511,6426,62530,143933,63758,2,0,86,40024,40063
b000_r000_p022,4000,0,0.4,0.013913480723864748,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18769364134011848,2601,45112,0,186941,11692,62293,143228,63577,5,153,0,39553,39940
b000_r000_p023,4000,0,0.6,0.014439730051273412,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.26346548728478913,2743,45442,0,189962,16680,63310,145777,64368,0,231,0,40639,40539
b000_r000_p024,4000,0,0.8,0.014274779364427614,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.33200943468005784,2816,48003,0,197271,21818,65715,150452,66465,0,0,560,41861,41566
b000_r000_p025,4000,2,0,0.013093432720729983,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00018499676255665526,0.0,2547,47053,12,194525,0,64866,148925,65954,0,0,292,41404,41275
b000_r000_p026,4000,2,0.2,0.014346051177506522,11,0,6,16,19,80,18,60,0.8,0.2,0,4.552904753232562e-05,0.09943543981059916,2843,47520,3,198173,6552,65892,151810,67062,0,0,483,42127,42138
b000_r000_p027,4000,2,0.4,0.014294121290962027,11,0,6,16,19,80,18,60,0.8,0.2,0,6.203473945409429e-05,0.1886786600496278,2769,46699,4,193716,12166,64480,148248,65873,0,0,114,41222,41039
b000_r000_p028,4000,2,0.6,0.014586537386982274,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00011166945840312674,0.2630772912179947,2741,45493,7,187913,16491,62685,143679,63655,0,0,144,39976,39904
b000_r000_p029,4000,2,0.8,0.01487837518696371,11,0,6,16,19,80,18,60,0.8,0.2,0,7.888550557720524e-05,0.3261600113595128,2835,45687,5,190545,20673,63383,146023,64521,0,0,420,40501,40581
b000_r000_p030,4000,3,0,0.014232759645757832,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00024789675100320716,0.0,2753,46862,16,193427,0,64543,147812,65446,0,142,0,41134,41090
b000_r000_p031,4000,3,0.2,0.013095164386106124,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20055399947385524,0.0,2538,46559,12960,193812,0,64621,148715,65808,0,0,221,41263,41423
b000_r000_p032,4000,3,0.4,0.01265624050402123,11,0,6,16,19,80,18,60,0.8,0.2,0,0.413194866804525,0.0,2499,46800,27175,197452,0,65768,152153,66984,0,0,431,42390,42348
b000_r000_p033,4000,3,0.6,0.013824397893531005,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6208340982293353,0.0,2486,43757,37201,179827,0,59921,137584,61220,6,214,0,37895,38249
b000_r000_p034,4000,3,0.8,0.014011231427595036,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8143939393939394,0.0,2747,46355,53105,196057,0,65208,150955,66886,0,8,0,42036,42025
b000_r000_p035,4000,4,0,0.014688254368084672,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0006793253139808464,0.0,2659,43997,41,181029,0,60354,138373,61331,1,328,0,38331,38382
b000_r000_p036,4000,4,0.2,0.013994478439128911,11,0,6,16,19,80,18,60,0.8,0.2,0,0.19739605856551554,0.0,2717,46548,12781,194148,0,64748,148883,65736,0,197,0,41537,41413
b000_r000_p037,4000,4,0.4,0.01479879484141112,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40502793296089384,0.0,2785,45351,25375,188191,0,62650,144055,63738,0,351,0,39898,40068
b000_r000_p038,4000,4,0.6,0.014529374605180037,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6181626424199811,0.0,2737,44469,38684,188377,0,62579,145171,64316,0,166,0,40374,40315
b000_r000_p039,4000,4,0.8,0.013572008060506137,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8245368477337779,0.0,2593,46362,52429,191055,0,63586,146100,64596,0,0,694,40398,40412
b000_r000_p040,16000,0,0,0.013447470817120622,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,10368,184595,0,771000,0,256856,592037,261936,4,978,0,164421,164698
b000_r000_p041,16000,0,0.2,0.013432068054787789,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.09980890839882121,10497,187421,0,781488,26011,260608,599570,264870,3,891,0,166870,166936
b000_r000_p042,16000,0,0.4,0.014478975277725107,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18858693304747656,11072,185099,0,764695,48028,254673,584524,258258,16,1985,0,161833,162432
b000_r000_p043,16000,0,0.6,0.014431702538478306,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2630373556992974,11189,187198,0,775307,67992,258488,592920,262754,0,374,0,164568,165224
b000_r000_p044,16000,0,0.8,0.014647073119696609,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.3252953792162215,11270,185311,0,769437,83422,256450,588856,260671,2,593,0,163678,163912
b000_r000_p045,16000,2,0,0.01369649540481859,11,0,6,16,19,80,18,60,0.8,0.2,0,3.136639874534405e-05,0.0,10459,182700,8,763626,0,255050,586467,258733,0,333,0,163887,163514
b000_r000_p046,16000,2,0.2,0.014531427057242877,11,0,6,16,19,80,18,60,0.8,0.2,0,5.18966219291172e-05,0.10014451213183338,10913,180338,13,750993,25086,250498,575742,254624,0,0,460,160384,160274
b000_r000_p047,16000,2,0.4,0.014047918099049858,11,0,6,16,19,80,18,60,0.8,0.2,0,3.453131414671205e-05,0.18672999965468687,10972,187430,9,781041,48668,260633,598639,264310,0,0,493,166940,166896
b000_r000_p048,16000,2,0.6,0.014503131952350876,11,0,6,16,19,80,18,60,0.8,0.2,0,4.0208278884622344e-05,0.26099193824008365,10815,179332,10,745701,64910,248705,571554,252948,0,0,528,159169,158909
b000_r000_p049,16000,2,0.8,0.014692486972805731,11,0,6,16,19,80,18,60,0.8,0.2,0,2.2971079411021525e-05,0.324960374888016,11549,187146,6,786048,84879,261198,603353,267897,0,206,0,167521,167729
b000_r000_p050,16000,3,0,0.013778275786029671,11,0,6,16,19,80,18,60,0.8,0.2,0,8.088713933002338e-05,0.0,10747,187251,21,779996,0,259621,597998,265606,1,375,0,165775,166241
b000_r000_p051,16000,3,0.2,0.013421517789505098,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20293614627931267,0.0,10524,187180,53040,784114,0,261363,602410,266620,0,244,0,167855,167691
b000_r000_p052,16000,3,0.4,0.013709935907833934,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4057019250221759,0.0,10565,184972,104280,770609,0,257036,591072,261893,0,0,79,164581,164519
b000_r000_p053,16000,3,0.6,0.013783286374408643,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6052127031359046,0.0,10777,186669,157831,781889,0,260786,600443,265006,0,533,0,167394,167510
b000_r000_p054,16000,3,0.8,0.013968015002046934,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8007647820252473,0.0,10577,182278,202290,757230,0,252621,580375,256803,0,0,595,161387,161590
b000_r000_p055,16000,4,0,0.012901148906371441,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0001464523837052453,0.0,10059,184944,38,779698,0,259470,600695,265952,0,747,0,166987,167009
b000_r000_p056,16000,4,0.2,0.013506819162600193,11,0,6,16,19,80,18,60,0.8,0.2,0,0.2013049384842049,0.0,10579,187106,52604,783234,0,261315,601549,265942,1,0,62,167632,167912
b000_r000_p057,16000,4,0.4,0.013401622071687757,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4007224382869211,0.0,10430,186918,104169,778264,0,259953,596916,263777,0,149,0,166426,166564
b000_r000_p058,16000,4,0.6,0.013740986855007756,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6103829045052763,0.0,10790,187774,159584,785242,0,261449,602678,267157,0,388,0,167687,167446
b000_r000_p059,16000,4,0.8,0.01356284577080854,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8157670769194897,0.0,10451,186090,209914,770561,0,257321,590020,260789,1,665,0,164062,164503
b000_r001_p060,1000,0,0,0.015162680601147808,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,679,10880,0,44781,0,14893,34222,15204,0,0,109,9456,9453
b000_r001_p061,1000,0,0.2,0.01698394081559004,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10596342794759825,753,10989,0,44336,1553,14656,33594,14920,0,0,336,9333,9005
b000_r001_p062,1000,0,0.4,0.013737364741505989,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18683001531393567,617,11134,0,44914,2806,15019,34163,15173,0,0,86,9474,9430
b000_r001_p063,1000,0,0.6,0.014524455332925016,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.26533420707732636,664,11066,0,45716,4049,15260,34986,15450,1,62,0,9674,9799
b000_r001_p064,1000,0,0.8,0.012992523742170135,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.33534816247582205,643,11488,0,49490,5548,16544,38359,16733,0,26,0,10811,10789
b000_r001_p065,1000,2,0,0.013584823375490624,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00045469308216953554,0.0,623,11296,7,45860,0,15395,34941,15322,0,116,0,9726,9777
b000_r001_p066,1000,2,0.2,0.01565914877317892,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00020219720967850643,0.10217698995753859,695,10899,3,44383,1516,14837,33789,14803,0,0,211,9417,9358
b000_r001_p067,1000,2,0.4,0.014372763323338814,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0005277044854881266,0.18962181178540016,743,12166,9,51695,3234,17055,39786,17682,0,159,0,10934,11011
b000_r001_p068,1000,2,0.6,0.012425056853421542,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0001847063169560399,0.26179041989902724,601,11743,3,48370,4252,16242,37026,16158,0,124,0,10362,10382
b000_r001_p069,1000,2,0.8,0.0165766396221051,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00019755037534571315,0.3269458711971553,758,11030,3,45727,4965,15186,34939,15579,0,0,17,9672,9671
b000_r001_p070,1000,3,0,0.01335104312180823,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0008894362342638204,0.0,583,11120,13,43667,0,14616,32964,14579,9,238,0,8989,9149
b000_r001_p071,1000,3,0.2,0.012335810577255444,11,0,6,16,19,80,18,60,0.8,0.2,0,0.2046942877520586,0.0,571,10936,3157,46288,0,15423,35781,15748,0,123,0,9955,9955
b000_r001_p072,1000,3,0.4,0.013023113290141832,11,0,6,16,19,80,18,60,0.8,0.2,0,0.428150765606596,0.0,595,11203,6543,45688,0,15282,34890,15459,0,57,0,9618,9756
b000_r001_p073,1000,3,0.6,0.016657539247900692,11,0,6,16,19,80,18,60,0.8,0.2,0,0.615209910529938,0.0,730,10482,8939,43824,0,14530,33612,14802,0,222,0,9272,9316
b000_r001_p074,1000,3,0.8,0.015067222994900325,11,0,6,16,19,80,18,60,0.8,0.2,0,0.822350166481687,0.0,650,10619,11855,43140,0,14416,32871,14628,0,0,30,9180,9033
b000_r001_p075,1000,4,0,0.011356144865278693,11,0,6,16,19,80,18,60,0.8,0.2,0,0.003703940226068076,0.0,534,11312,58,47023,0,15659,36177,15997,1,171,0,9965,10043
b000_r001_p076,1000,4,0.2,0.01529032797858099,11,0,6,16,19,80,18,60,0.8,0.2,0,0.21760050648939538,0.0,731,11426,3437,47808,0,15795,36651,16440,0,0,45,10142,10024
b000_r001_p077,1000,4,0.4,0.013051375776467158,11,0,6,16,19,80,18,60,0.8,0.2,0,0.42977697408077153,0.0,582,10973,6417,44593,0,14931,34038,14939,8,165,0,9373,9553
b000_r001_p078,1000,4,0.6,0.013829566181054187,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6440420237766105,0.0,599,10719,9318,43313,0,14468,32995,14684,0,0,92,9184,9035
b000_r001_p079,1000,4,0.8,0.011031740830548092,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8559305308861259,0.0,505,11399,13011,45777,0,15201,34873,15726,5,116,0,9420,9606
b000_r001_p080,4000,0,0,0.013439574474794885,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,2557,45956,0,190259,0,63500,145746,64306,0,0,396,40693,40351
b000_r001_p081,4000,0,0.2,0.013920745443374974,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10048944160561472,2719,46955,0,195320,6529,64972,149646,66520,6,130,0,41485,41505
b000_r001_p082,4000,0,0.4,0.014946256111851942,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18658736918958385,2959,47000,0,197976,12267,65744,152017,67321,0,197,0,42132,42367
b000_r001_p083,4000,0,0.6,0.01432892443350764,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2654546016250116,2795,45954,0,195060,17185,64738,150311,66448,0,0,341,41931,41591
b000_r001_p084,4000,0,0.8,0.015104108762288963,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.32952181301316563,2853,45670,0,188889,20749,62967,144366,63677,0,0,424,40219,40046
b000_r001_p085,4000,2,0,0.012725440351378589,11,0,6,16,19,80,18,60,0.8,0.2,0,7.52049334436339e-05,0.0,2538,47461,5,199443,0,66485,153444,67717,1,216,0,42824,42686
b000_r001_p086,4000,2,0.2,0.01338035200941775,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00012585146380983845,0.1024430915412085,2546,45688,8,190279,6512,63567,146045,64401,3,191,0,40717,40733
b000_r001_p087,4000,2,0.4,0.0131078616254985,11,0,6,16,19,80,18,60,0.8,0.2,0,3.094250881861501e-05,0.18662974193947646,2544,46152,2,194082,12063,64636,149386,66033,0,219,0,41623,41511
b000_r001_p088,4000,2,0.6,0.01440905975386441,11,0,6,16,19,80,18,60,0.8,0.2,0,4.615526631588664e-05,0.263854272439152,2817,47024,3,195502,17150,64998,149661,66239,0,446,0,41491,41485
b000_r001_p089,4000,2,0.8,0.015483542178787698,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00012019411349329166,0.32610165417148695,3099,47811,8,200148,21705,66559,153238,67700,0,0,231,42722,42585
b000_r001_p090,4000,3,0,0.014108486893329874,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00015621826816427913,0.0,2718,46570,10,192650,0,64013,147362,65346,0,0,560,40853,40603
b000_r001_p091,4000,3,0.2,0.012415569633523535,11,0,6,16,19,80,18,60,0.8,0.2,0,0.2061164830222622,0.0,2487,48068,13749,200313,0,66705,153758,67879,0,0,536,42722,42621
b000_r001_p092,4000,3,0.4,0.013545959895683041,11,0,6,16,19,80,18,60,0.8,0.2,0,0.41181565615296617,0.0,2488,44486,25199,183671,0,61190,140697,62491,1,298,0,38847,39060
b000_r001_p093,4000,3,0.6,0.014160925392607679,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6088385682980277,0.0,2670,45412,38341,188547,0,62974,144465,63747,0,182,0,40335,40201
b000_r001_p094,4000,3,0.8,0.012930989946581527,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8215966802923325,0.0,2503,46190,53062,193566,0,64584,148873,65519,0,0,374,41505,41475
b000_r001_p095,4000,4,0,0.013909914869354934,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0006066883693400414,0.0,2830,48068,41,203452,0,67580,156554,69455,0,0,7,43513,43579
b000_r001_p096,4000,4,0.2,0.013914431802105859,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20717385367037902,0.0,2754,47344,13654,197924,0,65906,151826,67079,0,0,279,42302,42166
b000_r001_p097,4000,4,0.4,0.014359406368465102,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40335239468466844,0.0,2625,44600,24617,182807,0,61031,139582,61879,0,0,240,38812,38651
b000_r001_p098,4000,4,0.6,0.013653211638171145,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6144919605349987,0.0,2549,45014,38179,186696,0,62131,143133,63825,0,56,0,39547,39705
b000_r001_p099,4000,4,0.8,0.014815354662724234,11,0,6,16,19,80,18,60,0.8,0.2,0,0.82900480139677,0.0,2846,46584,53179,192098,0,64148,146668,64510,0,424,0,40741,40993
b000_r001_p100,16000,0,0,0.013350539467556965,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,10149,182665,0,760194,0,253783,583380,258180,1,252,0,162178,162769
b000_r001_p101,16000,0,0.2,0.013351781653728747,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10018977641372019,10528,188965,0,788509,26344,262941,605016,267248,0,847,0,168431,168490
b000_r001_p102,16000,0,0.4,0.013599049708074767,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.1846195620551213,10521,186200,0,773657,47594,257795,592936,263088,0,0,453,164416,164979
b000_r001_p103,16000,0,0.6,0.013851772265535174,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2604415321007879,10662,185035,0,769721,66772,256380,590024,261793,0,0,506,164201,163524
b000_r001_p104,16000,0,0.8,0.013932458314337853,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.32642930768574996,10788,184922,0,774307,84239,258062,594597,262802,0,592,0,165499,165704
b000_r001_p105,16000,2,0,0.013955568166559839,11,0,6,16,19,80,18,60,0.8,0.2,0,1.9063305424654193e-05,0.0,11017,188406,5,789434,0,262284,606011,268820,0,0,1029,168263,167899
b000_r001_p106,16000,2,0.2,0.013655307327741477,11,0,6,16,19,80,18,60,0.8,0.2,0,5.0048508554445076e-05,0.09935783913639373,10652,186788,13,780063,25808,259748,598623,265161,2,752,0,166377,166331
b000_r001_p107,16000,2,0.4,0.013549792838495767,11,0,6,16,19,80,18,60,0.8,0.2,0,2.681149983530079e-05,0.18624033828452363,10609,187618,7,782964,48624,261082,600737,265763,0,427,0,167279,167268
b000_r001_p108,16000,2,0.6,0.014155559591456491,11,0,6,16,19,80,18,60,0.8,0.2,0,1.1781060766711434e-05,0.26403713390353667,10834,182761,3,765353,67236,254646,587758,260809,0,397,0,162982,163570
b000_r001_p109,16000,2,0.8,0.015075940001859184,11,0,6,16,19,80,18,60,0.8,0.2,0,1.911716912959529e-05,0.3249268768280793,11839,188079,5,785291,84983,261545,601373,266351,0,6,0,167283,167733
b000_r001_p110,16000,3,0,0.013308078416516716,11,0,6,16,19,80,18,60,0.8,0.2,0,6.456415398170936e-05,0.0,10539,187983,17,791925,0,263304,609403,269935,0,0,843,169419,169206
b000_r001_p111,16000,3,0.2,0.013649845682686512,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20270229525496553,0.0,10893,189697,53783,798031,0,265330,613441,272384,0,0,93,170705,170259
b000_r001_p112,16000,3,0.4,0.013500070869895757,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40640958187614123,0.0,10477,186216,105052,776070,0,258488,595377,264189,9,402,0,165217,165560
b000_r001_p113,16000,3,0.6,0.01398806715111097,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6176191843203259,0.0,10672,184117,157055,762936,0,254291,584147,258587,12,989,0,161831,162728
b000_r001_p114,16000,3,0.8,0.01337199337987205,11,0,6,16,19,80,18,60,0.8,0.2,0,0.799350965314575,0.0,10455,187435,208633,781858,0,261003,599968,265241,0,0,156,167393,167178
b000_r001_p115,16000,4,0,0.013864418074305709,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00015562627905348097,0.0,10694,184083,40,771327,0,257026,592550,261817,2,762,0,165048,164921
b000_r001_p116,16000,4,0.2,0.013594356186851429,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20840857654304437,0.0,10344,183649,52857,760904,0,253622,582911,257447,0,0,1866,162269,161329
b000_r001_p117,16000,4,0.4,0.01374559205490386,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4021091728603007,0.0,10505,182979,102416,764245,0,254697,586761,260066,1,265,0,163203,163226
b000_r001_p118,16000,4,0.6,0.013356441895004307,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6085929092030226,0.0,10450,187169,158903,782394,0,261099,600775,265710,0,36,0,167592,167437
b000_r001_p119,16000,4,0.8,0.014033550773128732,11,0,6,16,19,80,18,60,0.8,0.2,0,0.806249807981812,0.0,10989,186081,209941,783052,0,260392,601982,267207,0,0,69,167406,167300
b000_r002_p120,1000,0,0,0.01676464184628783,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,693,10301,0,41337,0,13820,31343,13666,3,294,0,8606,8774
b000_r002_p121,1000,0,0.2,0.015128841147167955,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10915384139934484,738,12078,0,48781,1766,16179,36965,16347,13,321,0,10098,10186
b000_r002_p122,1000,0,0.4,0.015655577299412915,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.19052691379065473,664,10185,0,42413,2683,14082,32564,14440,3,132,0,8996,8993
b000_r002_p123,1000,0,0.6,0.014825364213672022,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2691287349902262,635,10383,0,42832,3855,14324,32814,14465,0,0,65,9095,9189
b000_r002_p124,1000,0,0.8,0.014398410091054734,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.33657351154313486,710,11828,0,49311,5540,16460,37773,16634,4,0,34,10477,10624
b000_r002_p125,1000,2,0,0.013860042361553805,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0003697085464292316,0.0,674,11524,6,48629,0,16229,37431,16253,0,244,0,10482,10452
b000_r002_p126,1000,2,0.2,0.014508739182080434,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0003176620076238882,0.10025412960609911,684,11348,5,47144,1578,15740,36112,15917,0,0,63,10091,10041
b000_r002_p127,1000,2,0.4,0.013405752878473494,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0003093293739173472,0.2026107399158624,659,11388,5,49158,3275,16164,38111,16852,0,0,307,10508,10444
b000_r002_p128,1000,2,0.6,0.01671066334067957,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0003610890445583881,0.26568931898606196,690,10324,5,41291,3679,13847,31277,13754,0,0,153,8695,8675
b000_r002_p129,1000,2,0.8,0.016253207869974338,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00020329335230737954,0.33672155587178965,722,11080,3,44422,4969,14757,33620,14953,0,227,0,9194,9246
b000_r002_p130,1000,3,0,0.015367376340643508,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0011484526112185687,0.0,768,11790,19,49976,0,16544,38418,17112,3,5,0,10679,10619
b000_r002_p131,1000,3,0.2,0.015686825407974527,11,0,6,16,19,80,18,60,0.8,0.2,0,0.2049532118483079,0.0,670,10380,2913,42711,0,14213,32661,14400,0,0,215,9072,8974
